Datetime,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23
2020-03-19,18948.75,18418.333333333332,18286.75,18401.083333333332,19005.583333333332,20364.833333333332,22295.833333333332,22942.666666666668,20555.416666666668,17397.583333333332,15742.75,14794.0,13797.916666666666,13865.5,13763.75,13298.166666666666,14073.333333333334,17586.5,22153.583333333332,25067.583333333332,25430.5,24657.0,23360.083333333332,21927.583333333332
2020-03-20,20692.166666666668,19663.916666666668,19191.583333333332,19084.0,19458.583333333332,20675.666666666668,22403.583333333332,22342.416666666668,18408.5,14385.916666666666,12557.416666666666,12072.833333333334,11914.916666666666,12328.583333333334,13450.5,15085.666666666666,17167.916666666668,19585.333333333332,22871.0,25196.833333333332,25096.75,24269.916666666668,23044.833333333332,21610.5
2020-03-21,20390.166666666668,19612.75,18987.583333333332,18663.333333333332,18647.916666666668,19183.333333333332,20158.666666666668,19445.666666666668,16160.75,12173.416666666666,10604.166666666666,10262.416666666666,10090.25,9919.75,10308.0,11944.5,13916.916666666666,16900.333333333332,21048.416666666668,23416.75,23651.25,22806.916666666668,21724.25,20392.583333333332
2020-03-22,19446.0,18689.333333333332,18197.0,17916.916666666668,17963.25,18333.416666666668,18911.416666666668,17955.916666666668,14078.333333333334,9982.5,8571.416666666666,8109.833333333333,7940.75,8162.166666666667,9420.583333333334,11161.75,13426.416666666666,17366.416666666668,20638.0,22202.25,22463.25,21626.0,20567.333333333332,19373.083333333332
2020-03-23,18460.833333333332,17714.166666666668,17262.583333333332,16939.416666666668,17175.166666666668,17991.0,19753.583333333332,19690.25,15797.333333333334,11743.583333333334,9555.833333333334,9546.25,9906.833333333334,9976.666666666666,9203.416666666666,9728.5,11043.25,13195.333333333334,18715.833333333332,22234.75,22543.5,22009.833333333332,20866.75,19337.75
2020-03-24,18198.25,17448.416666666668,16749.583333333332,16799.25,17208.0,18256.333333333332,20022.5,19707.166666666668,15531.166666666666,13085.25,12677.083333333334,12327.75,12182.166666666666,11080.833333333334,10657.666666666666,10897.833333333334,12205.666666666666,15091.666666666666,19411.916666666668,22630.916666666668,23067.666666666668,22281.583333333332,20904.333333333332,19532.25
2020-03-25,18416.333333333332,16954.333333333332,16538.833333333332,16531.666666666668,16951.0,17911.583333333332,19651.666666666668,19614.833333333332,16389.0,12823.75,11602.583333333334,10529.5,9952.333333333334,9736.5,9904.083333333334,11545.833333333334,13121.0,16164.75,19837.583333333332,22371.0,22395.25,22083.083333333332,20143.666666666668,18661.0
2020-03-26,17475.416666666668,16724.0,16262.916666666666,15852.666666666666,16136.5,17378.25,19487.25,18886.833333333332,13798.416666666666,10697.25,9775.083333333334,9418.333333333334,9075.416666666666,9173.0,9328.916666666666,9444.833333333334,11132.416666666666,14070.5,18819.166666666668,22213.416666666668,22105.333333333332,21157.583333333332,19743.0,17825.25
2020-03-27,16682.333333333332,15993.75,15706.583333333334,15817.25,15665.5,16799.083333333332,18309.666666666668,17622.833333333332,12336.666666666666,9634.916666666666,8635.25,7949.0,7274.333333333333,6624.833333333333,6578.083333333333,6562.416666666667,7985.833333333333,10598.333333333334,16677.5,20796.833333333332,21200.25,20565.666666666668,19447.166666666668,18255.5
2020-03-28,17238.333333333332,16619.583333333332,16523.0,16553.25,16873.833333333332,17465.583333333332,18601.333333333332,17242.666666666668,13184.25,10565.333333333334,9277.0,9644.0,9788.166666666666,9837.583333333334,9541.166666666666,9759.25,11634.75,14737.333333333334,19263.666666666668,21606.416666666668,21463.0,20871.5,19804.916666666668,18478.333333333332
2020-03-29,17234.416666666668,16455.0,15966.5,15835.583333333334,15916.0,16273.583333333334,16877.166666666668,15136.5,11304.0,9153.416666666666,8401.0,8641.083333333334,8817.083333333334,8059.916666666667,7472.583333333333,8100.75,9323.333333333334,11009.333333333334,16437.833333333332,20543.583333333332,20844.416666666668,19714.0,18312.0,17235.0
2020-03-30,16044.666666666666,15172.583333333334,14895.25,15600.916666666666,16697.75,17898.0,19596.583333333332,18579.5,13636.25,10732.916666666666,9471.0,8993.583333333334,9140.25,9233.166666666666,8572.416666666666,8831.833333333334,10116.666666666666,11801.25,17702.333333333332,21667.416666666668,22024.583333333332,21513.083333333332,20324.833333333332,19081.916666666668
2020-03-31,17729.583333333332,16766.25,16415.25,16359.583333333334,16639.583333333332,17465.333333333332,18800.833333333332,18346.416666666668,15057.583333333334,12571.416666666666,11065.333333333334,9644.25,8898.0,8439.083333333334,8317.166666666666,8777.5,11169.166666666666,13764.25,17958.666666666668,21119.0,21455.166666666668,20543.5,19160.583333333332,17807.833333333332
2020-04-01,16606.25,15839.666666666666,15480.083333333334,15239.416666666666,15527.0,16704.416666666668,18279.0,17215.166666666668,12258.083333333334,9314.666666666666,8546.25,8469.083333333334,8172.083333333333,7728.583333333333,7973.083333333333,8167.5,9135.0,11603.0,17432.583333333332,21587.75,22359.166666666668,21689.916666666668,20559.666666666668,19048.333333333332
2020-04-02,17840.083333333332,16728.75,15656.666666666666,15258.0,15463.666666666666,16477.0,17767.666666666668,15725.5,10985.75,8928.75,8478.583333333334,7932.333333333333,7296.083333333333,7053.666666666667,6555.083333333333,6809.083333333333,8032.583333333333,10591.416666666666,16088.583333333334,20128.0,20745.083333333332,19785.75,18627.833333333332,17717.166666666668
2020-04-03,16641.916666666668,15667.583333333334,15275.5,14916.75,14998.5,16399.333333333332,17984.25,16353.833333333334,11598.166666666666,9041.0,7865.75,7263.5,7038.333333333333,7008.75,6614.583333333333,7033.416666666667,7967.916666666667,10116.333333333334,15815.833333333334,20100.916666666668,20659.75,19641.5,18452.166666666668,17347.666666666668
2020-04-04,16132.916666666666,15259.416666666666,14693.083333333334,14338.083333333334,14490.416666666666,15163.5,15926.0,13630.833333333334,9075.666666666666,7571.083333333333,7093.333333333333,7134.75,7290.666666666667,7235.916666666667,6854.333333333333,6736.166666666667,7523.25,10863.583333333334,16415.5,21003.583333333332,21752.916666666668,21199.75,20031.416666666668,18865.75
2020-04-05,17895.166666666668,16967.5,16284.916666666666,15901.75,15705.5,16071.583333333334,16304.25,15149.583333333334,13021.166666666666,12199.666666666666,12367.833333333334,12199.0,12128.75,11339.833333333334,11989.75,12429.666666666666,13561.166666666666,16470.666666666668,19622.5,21283.083333333332,21537.166666666668,20874.5,19823.0,18406.833333333332
2020-04-06,17499.916666666668,16616.75,16253.0,16585.333333333332,17155.166666666668,18183.666666666668,19940.75,19977.416666666668,18423.166666666668,17621.333333333332,15903.333333333334,15115.75,14437.083333333334,14381.833333333334,13625.583333333334,13795.25,14583.75,16995.083333333332,21061.416666666668,23954.75,24223.25,23293.0,22024.416666666668,20612.5
2020-04-07,19524.25,18661.5,18150.916666666668,18045.916666666668,18502.666666666668,19594.916666666668,21199.166666666668,20287.583333333332,17162.916666666668,14317.166666666666,12384.666666666666,11840.166666666666,11167.916666666666,12769.083333333334,13973.333333333334,13903.083333333334,16231.916666666666,18504.0,21612.916666666668,23118.916666666668,22973.333333333332,22766.75,21292.916666666668,19601.166666666668
2020-04-08,18754.25,17741.0,17344.666666666668,17126.0,17576.083333333332,18835.666666666668,20250.75,20588.166666666668,19927.166666666668,18431.833333333332,16829.333333333332,15229.0,14954.666666666666,14316.75,14366.833333333334,14503.833333333334,15820.666666666666,18416.833333333332,21178.833333333332,22889.0,23024.416666666668,22143.25,20955.916666666668,19407.583333333332
