Datetime,Net demand_t-3,Net demand_t-12,Net demand_t-13,Net demand_t-15,Net demand_t-16,Net demand_t-17,Net demand_t-18,Net demand_t-19,Net demand_t-20,Net demand_t-21,Net demand_t-22,Net demand_t-23,Net demand_t-24,last_24h_mean_t-12,last_24h_mean_t-13,last_24h_mean_t-14,last_24h_mean_t-19,last_24h_mean_t-22,last_24h_mean_t-23,last_24h_mean_t-24,last_week_mean_t-22,last_week_mean_t-23,last_week_mean_t-24,is_weekend_0.0,is_weekend_1.0
2018-06-08,17354.0,12089.0,11790.0,12184.0,12359.0,13595.0,15268.0,18268.0,22727.0,24835.0,25761.0,24236.0,21923.0,17773.041666666668,17718.375,17670.583333333332,17370.458333333332,17308.041666666668,17296.041666666668,17292.875,18737.5,18743.47023809524,18748.928571428565,1,0
2018-06-09,17382.0,14896.0,14790.0,16056.0,17118.0,17578.0,18624.0,20615.0,24624.0,26438.0,26217.0,24846.0,22333.0,17370.458333333332,17495.458333333332,17646.125,18409.33333333333,18574.166666666668,18599.58333333333,18616.666666666668,18866.36309523809,18862.51785714286,18853.14285714286,0,1
2018-06-10,18119.0,9282.0,9944.0,9821.0,11155.0,12631.0,14418.0,17879.0,22388.0,24026.0,24323.0,23317.0,21477.0,17682.708333333332,17480.791666666668,17238.166666666668,16234.541666666664,15961.958333333336,15898.25,15862.583333333336,18408.34523809524,18390.541666666668,18376.410714285714,0,1
2018-06-11,18637.0,8697.0,8493.0,8740.0,9973.0,10915.0,12711.0,15831.0,20500.0,23208.0,24254.0,22991.0,20723.0,15789.25,15728.791666666664,15686.958333333336,15364.708333333336,15249.083333333336,15235.5,15204.083333333336,17835.904761904763,17814.77380952381,17797.136904761905,1,0
2018-06-12,16738.0,15965.0,16259.0,18718.0,20255.0,22126.0,23640.0,25929.0,29372.0,30527.0,30171.0,28027.0,25281.0,16346.791666666664,16670.375,17036.208333333332,19223.625,20144.791666666668,20354.625,20544.541666666668,17806.60714285714,17812.934523809523,17820.005952380954,1,0
2018-06-13,20677.0,18148.0,18735.0,21739.0,23300.0,24989.0,26450.0,28440.0,31232.0,32314.0,31469.0,29249.0,26240.0,22048.58333333333,22151.75,22265.25,22859.0,23065.04166666667,23115.95833333333,23155.91666666667,18359.20238095238,18383.380952380958,18407.36904761905,1,0
2018-06-14,20767.0,18393.0,19176.0,22128.0,23070.0,24401.0,25880.0,28174.0,31793.0,33072.0,32486.0,29770.0,26458.0,22998.5,23016.875,23031.29166666667,22978.58333333333,23075.91666666667,23097.625,23106.70833333333,19054.14285714286,19085.36904761905,19111.910714285714,1,0
2018-06-15,21100.0,16905.0,17349.0,19624.0,21160.0,23103.0,25102.0,27266.0,29610.0,31194.0,31010.0,29190.0,26160.0,23007.45833333333,22931.33333333333,22825.91666666667,22517.66666666667,22286.95833333333,22262.79166666667,22250.375,19765.416666666668,19794.904761904763,19820.125,1,0
2018-06-16,20763.0,18227.0,18568.0,20192.0,21845.0,22721.0,23258.0,25322.0,27594.0,29155.0,29346.0,27444.0,25214.0,22689.41666666667,22740.20833333333,22788.70833333333,22667.16666666667,22428.875,22356.125,22316.70833333333,20316.089285714286,20331.553571428565,20348.70238095238,0,1
2018-06-17,20467.0,12365.0,11195.0,10150.0,11097.0,11371.0,13150.0,15370.0,19652.0,22913.0,24003.0,22951.0,21197.0,21062.791666666668,20755.58333333333,20399.666666666668,18224.666666666668,17411.041666666668,17223.833333333332,17056.458333333332,20523.10119047619,20520.92261904762,20519.255952380958,0,1
2018-06-18,18467.0,8938.0,8266.0,7736.0,7998.0,8669.0,10228.0,13070.0,18030.0,21287.0,22136.0,21429.0,19917.0,15742.541666666664,15620.5,15518.625,14958.75,14745.625,14682.208333333336,14628.875,20451.178571428565,20441.880952380958,20437.08333333333,1,0
2018-06-19,16574.0,14160.0,14474.0,15152.0,14490.0,15245.0,16218.0,18533.0,22616.0,25321.0,25986.0,24415.0,21913.0,14998.916666666664,15257.583333333336,15542.666666666664,16873.375,17392.958333333332,17517.375,17600.541666666668,20058.059523809523,20036.559523809523,20016.511904761905,1,0
2018-06-20,17997.0,15249.0,15345.0,17330.0,18538.0,19954.0,21062.0,22828.0,26277.0,27933.0,27783.0,26105.0,23632.0,18387.041666666668,18423.33333333333,18477.45833333333,19313.875,19650.125,19720.541666666668,19792.166666666668,19570.214285714286,19551.5,19535.97619047619,1,0
2018-06-21,19555.0,15923.0,16308.0,18827.0,20292.0,21591.0,22765.0,24507.0,27998.0,29576.0,29144.0,27398.0,24529.0,20367.08333333333,20407.20833333333,20451.0,20795.58333333333,20992.45833333333,21046.33333333333,21083.70833333333,19272.57738095238,19258.45833333333,19246.97619047619,1,0
2018-06-22,19354.0,16448.0,16572.0,18356.0,19596.0,21189.0,22885.0,24922.0,28089.0,29492.0,28946.0,26912.0,24216.0,21159.25,21170.25,21164.70833333333,21121.625,21113.666666666668,21093.416666666668,21080.375,19104.964285714286,19091.404761904763,19079.83333333333,1,0
2018-06-23,19692.0,17492.0,18239.0,21157.0,22673.0,24111.0,25404.0,27041.0,30169.0,31853.0,30963.0,29056.0,25870.0,21096.5,21165.95833333333,21270.125,21830.041666666668,22099.125,22188.45833333333,22257.375,19057.85714285714,19067.45238095238,19071.35714285714,0,1
2018-06-24,20622.0,14705.0,15392.0,17296.0,18052.0,19309.0,21161.0,23679.0,27356.0,29568.0,29007.0,27218.0,24754.0,21971.041666666668,21852.416666666668,21711.291666666668,20840.916666666668,20547.0,20470.416666666668,20423.916666666668,19505.85119047619,19531.25,19552.42261904762,0,1
2018-06-25,19801.0,11773.0,12253.0,14496.0,15605.0,17076.0,18941.0,21413.0,25079.0,26663.0,26650.0,24780.0,22011.0,19716.70833333333,19585.916666666668,19459.875,18961.291666666668,18647.166666666668,18545.58333333333,18431.291666666668,20063.214285714286,20083.160714285714,20095.625,1,0
2018-06-26,18144.0,16671.0,17138.0,18547.0,19730.0,21147.0,22407.0,24568.0,28286.0,29234.0,28845.0,27126.0,24035.0,19041.416666666668,19244.95833333333,19428.541666666668,20214.70833333333,20546.916666666668,20644.666666666668,20729.0,20513.779761904763,20529.916666666668,20542.54761904762,1,0
2018-06-27,19644.0,16671.0,17445.0,19567.0,20526.0,21707.0,23034.0,24478.0,28223.0,30180.0,29760.0,27418.0,24260.0,21084.041666666668,21096.83333333333,21124.166666666668,21245.541666666668,21320.45833333333,21332.625,21342.0,20752.39880952381,20760.214285714286,20763.95238095238,1,0
2018-06-28,19299.0,15174.0,15504.0,16846.0,17993.0,19386.0,20872.0,23107.0,27066.0,29433.0,29199.0,27142.0,24327.0,20894.45833333333,20813.58333333333,20714.041666666668,20251.20833333333,20148.5,20137.0,20139.791666666668,20631.83333333333,20630.309523809523,20629.10714285714,1,0
2018-06-29,19331.0,14285.0,14351.0,15558.0,16266.0,17414.0,19118.0,21522.0,25653.0,28083.0,28377.0,26344.0,23149.0,19904.375,19856.33333333333,19804.83333333333,19457.916666666668,19308.541666666668,19275.291666666668,19226.20833333333,20373.95833333333,20370.57738095238,20364.22619047619,1,0
2018-06-30,18546.0,14491.0,14671.0,15636.0,16490.0,18065.0,19744.0,21874.0,26026.0,27988.0,27859.0,26242.0,23991.0,19194.791666666668,19208.125,19231.125,19311.58333333333,19301.58333333333,19297.33333333333,19332.416666666668,19974.309523809523,19957.559523809523,19946.375,0,1
2018-07-01,19317.0,14139.0,14845.0,17501.0,19158.0,21122.0,22753.0,24583.0,27172.0,28884.0,28622.0,26589.0,23956.0,19591.83333333333,19599.08333333333,19635.08333333333,20189.58333333333,20306.45833333333,20320.916666666668,20319.45833333333,19939.946428571428,19936.20238095238,19931.45238095238,0,1
2018-07-02,19206.0,13409.0,14099.0,16601.0,18084.0,19811.0,21261.0,23253.0,26507.0,27657.0,27834.0,25855.0,23226.0,19895.125,19864.041666666668,19831.916666666668,19577.45833333333,19465.791666666668,19435.20833333333,19404.791666666668,20056.89285714286,20063.291666666668,20070.52380952381,1,0
2018-07-03,18781.0,17069.0,17408.0,18596.0,19624.0,20889.0,22333.0,24423.0,28360.0,29963.0,29861.0,27399.0,24330.0,20155.916666666668,20293.791666666668,20396.625,20682.25,20940.0,21004.33333333333,21050.33333333333,20113.04761904762,20114.67261904762,20116.428571428565,1,0
2018-07-04,19548.0,15862.0,15798.0,17173.0,18333.0,19746.0,21457.0,23775.0,27347.0,28994.0,28939.0,27585.0,25061.0,21144.666666666668,21077.58333333333,21010.08333333333,20785.875,20664.875,20672.625,20703.08333333333,20019.39285714286,20020.386904761905,20025.154761904763,1,0
2018-07-05,20681.0,12287.0,12525.0,13713.0,15219.0,16834.0,18772.0,21227.0,25316.0,27246.0,27420.0,26399.0,25029.0,20054.791666666668,19918.416666666668,19787.291666666668,19174.0,18953.25,18903.83333333333,18902.5,19848.64285714286,19844.22023809524,19848.39880952381,1,0
2018-07-06,20293.0,17644.0,18422.0,22100.0,23789.0,25314.0,28012.0,30581.0,33713.0,33672.0,33123.0,30701.0,27552.0,19918.95833333333,20164.666666666668,20467.45833333333,22302.08333333333,23157.33333333333,23336.58333333333,23441.70833333333,20398.47023809524,20424.404761904763,20450.61309523809,1,0
