Datetime,Net demand_t-3,Net demand_t-12,Net demand_t-13,Net demand_t-15,Net demand_t-16,Net demand_t-17,Net demand_t-18,Net demand_t-19,Net demand_t-20,Net demand_t-21,Net demand_t-22,Net demand_t-23,Net demand_t-24,last_24h_mean_t-12,last_24h_mean_t-13,last_24h_mean_t-14,last_24h_mean_t-19,last_24h_mean_t-22,last_24h_mean_t-23,last_24h_mean_t-24,last_week_mean_t-22,last_week_mean_t-23,last_week_mean_t-24,is_weekend_0.0,is_weekend_1.0
2018-05-16,17705.0,12522.0,11985.0,11362.0,11471.0,12642.0,14334.0,17478.0,23119.0,25576.0,25578.0,24246.0,22201.0,17273.041666666668,17261.333333333332,17219.958333333332,17019.75,17130.166666666668,17185.75,17247.333333333332,16410.964285714286,16415.255952380954,16422.988095238095,1,0
2018-05-17,18391.0,13520.0,13039.0,12633.0,12553.0,12691.0,13421.0,16498.0,21553.0,24306.0,24286.0,22168.0,20186.0,17421.333333333332,17465.25,17510.125,17531.333333333332,17359.333333333332,17272.75,17188.791666666668,16344.202380952383,16334.261904761905,16328.255952380952,1,0
2018-05-18,16670.0,11151.0,11021.0,10579.0,10517.0,11228.0,12533.0,15315.0,20427.0,23169.0,23643.0,22466.0,20381.0,16511.5,16427.416666666668,16353.666666666664,16036.0,15914.916666666664,15927.333333333336,15935.458333333336,16144.232142857143,16140.059523809525,16137.10119047619,1,0
2018-05-19,16396.0,12287.0,11939.0,12083.0,11163.0,11205.0,12808.0,16058.0,20472.0,23124.0,23252.0,22069.0,20226.0,15869.75,15908.0,15952.958333333336,16084.0,16067.708333333336,16051.166666666664,16044.708333333336,16102.672619047617,16092.934523809525,16080.279761904761,0,1
2018-05-20,16668.0,9077.0,8605.0,8112.0,8430.0,9800.0,10539.0,13742.0,18654.0,21421.0,21773.0,21007.0,19519.0,15579.041666666664,15440.125,15297.375,14768.458333333336,14560.125,14515.875,14486.416666666664,15910.630952380952,15912.583333333336,15912.994047619048,0,1
2018-05-21,16349.0,9011.0,8329.0,7516.0,8289.0,9343.0,11870.0,15698.0,19198.0,21403.0,21599.0,20589.0,19164.0,14070.625,14059.125,14007.291666666664,14094.5,14109.166666666664,14091.75,14076.958333333336,15940.553571428567,15943.0,15948.017857142857,1,0
2018-05-22,15951.0,13347.0,12973.0,11700.0,11220.0,12493.0,13476.0,16292.0,20957.0,23614.0,23614.0,22374.0,20224.0,15284.0,15477.5,15689.791666666664,16209.166666666664,16458.541666666668,16532.916666666668,16577.083333333332,15942.85119047619,15939.64880952381,15936.678571428567,1,0
2018-05-23,16975.0,13699.0,13508.0,13570.0,13685.0,14307.0,15439.0,17648.0,21987.0,24408.0,24897.0,23058.0,20496.0,16868.666666666668,16890.958333333332,16952.916666666668,17347.416666666668,17476.875,17505.375,17516.708333333332,15992.380952380952,15985.309523809525,15975.160714285714,1,0
2018-05-24,17455.0,14588.0,13935.0,13402.0,13470.0,14093.0,15823.0,18792.0,22813.0,25615.0,26051.0,24279.0,21695.0,17822.416666666668,17840.208333333332,17820.541666666668,17859.333333333332,17992.125,18043.0,18092.95833333333,16082.779761904761,16095.345238095239,16104.327380952383,1,0
2018-05-25,18649.0,14748.0,13735.0,12698.0,12811.0,13418.0,14643.0,17587.0,22249.0,24966.0,25116.0,23361.0,21277.0,18405.541666666668,18397.20833333333,18380.875,18196.58333333333,18107.08333333333,18068.83333333333,18051.416666666668,16395.946428571428,16401.27380952381,16406.60714285714,1,0
2018-05-26,17883.0,14369.0,13251.0,12066.0,11912.0,12478.0,13777.0,16186.0,20003.0,22681.0,23346.0,22194.0,20289.0,17787.166666666668,17767.0,17740.5,17543.083333333332,17280.541666666668,17231.916666666668,17190.75,16569.208333333332,16569.95238095238,16570.32738095238,0,1
2018-05-27,17176.0,8384.0,7840.0,7084.0,7387.0,8437.0,10435.0,12665.0,18399.0,21644.0,22001.0,20849.0,19541.0,15541.75,15316.291666666664,15108.583333333336,14258.125,14092.041666666664,14036.0,14004.833333333336,16502.339285714286,16501.39880952381,16501.529761904763,0,1
2018-05-28,15597.0,8219.0,8054.0,8364.0,8788.0,9851.0,11288.0,14223.0,19233.0,22210.0,22998.0,21963.0,20210.0,13568.0,13576.916666666664,13587.291666666664,13858.375,13958.25,14004.666666666664,14032.541666666664,16480.779761904763,16488.958333333332,16495.184523809523,1,0
2018-05-29,17975.0,10427.0,10795.0,12186.0,13265.0,14737.0,16893.0,20316.0,24888.0,27010.0,26899.0,25367.0,22931.0,14922.458333333336,15036.666666666664,15193.583333333336,16230.375,16828.541666666668,16970.375,17083.75,16533.636904761905,16551.45238095238,16567.565476190477,1,0
2018-05-30,18593.0,17118.0,17711.0,19364.0,20605.0,22113.0,23163.0,25175.0,27983.0,29603.0,28766.0,26534.0,23639.0,18878.791666666668,19166.95833333333,19448.291666666668,20824.25,21139.041666666668,21187.666666666668,21217.166666666668,17056.803571428572,17077.494047619046,17096.20238095238,1,0
2018-05-31,19254.0,13657.0,13480.0,12970.0,12939.0,12962.0,14121.0,17011.0,21840.0,24497.0,25060.0,23601.0,21176.0,21002.375,20826.08333333333,20623.08333333333,18939.041666666668,18315.916666666668,18193.70833333333,18091.08333333333,17103.059523809523,17099.02380952381,17095.934523809523,1,0
2018-06-01,17267.0,11811.0,10864.0,10669.0,10792.0,11673.0,12978.0,16192.0,20749.0,24144.0,24825.0,23233.0,21006.0,17125.5,17016.5,16890.625,16569.833333333332,16499.875,16484.541666666668,16477.458333333332,16873.458333333332,16872.696428571428,16871.083333333332,1,0
2018-06-02,17027.0,13028.0,12856.0,13628.0,14532.0,15744.0,17215.0,19232.0,23728.0,26120.0,26513.0,25492.0,23908.0,16444.0,16527.0,16643.375,17395.333333333332,17672.125,17766.25,17887.166666666668,16929.39880952381,16949.029761904763,16970.571428571428,0,1
2018-06-03,20176.0,12312.0,12714.0,15100.0,16581.0,18484.0,20044.0,22343.0,26489.0,27962.0,27856.0,26308.0,23851.0,18390.83333333333,18384.916666666668,18411.95833333333,18920.33333333333,19168.08333333333,19202.08333333333,19199.70833333333,17654.54761904762,17687.041666666668,17712.696428571428,0,1
2018-06-04,18856.0,12834.0,13830.0,16175.0,17372.0,18873.0,20785.0,23993.0,27943.0,29307.0,29020.0,26541.0,23686.0,18799.375,18845.875,18897.45833333333,19091.041666666668,19256.166666666668,19265.875,19259.0,18411.39285714286,18438.64285714286,18459.33333333333,1,0
2018-06-05,18559.0,15523.0,16026.0,17513.0,18664.0,20574.0,22203.0,24768.0,28656.0,29616.0,29381.0,26964.0,24093.0,19865.041666666668,19956.541666666668,20020.416666666668,20292.25,20349.875,20367.5,20384.45833333333,18914.44047619048,18923.946428571428,18930.86309523809,1,0
2018-06-06,18768.0,14587.0,14271.0,15246.0,15404.0,16716.0,18293.0,21008.0,25034.0,27088.0,27180.0,25187.0,22210.0,20417.25,20344.125,20255.45833333333,19544.83333333333,19196.875,19122.83333333333,19044.375,18636.98809523809,18628.97023809524,18620.464285714286,1,0
2018-06-07,17739.0,13617.0,13102.0,13620.0,14387.0,15080.0,16542.0,19248.0,23163.0,25562.0,26096.0,24524.0,21999.0,18829.83333333333,18781.125,18722.625,18398.041666666668,18211.33333333333,18183.70833333333,18174.916666666668,18622.04761904762,18627.541666666668,18632.44047619048,1,0
